name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Luke Schenn,2750000.0,2,4.08,35.0,2301786.226345459,-448213.773654541
Joel Hanley,1750000.0,9,1.82,33.0,2676171.8656042116,926171.8656042116
K'Andre Miller,7500000.0,27,5.77,25.0,5390973.622353826,-2109026.3776461743
Andrew Peeke,2750000.0,17,3.34,26.0,3987801.4864193983,1237801.4864193983
Kaedan Korczak,825000.0,10,1.0,24.0,1022390.6715305549,197390.6715305549
Jason Dickinson,4250000.0,16,8.18,29.0,2809082.310283369,-1440917.689716631
Jake Walman,3400000.0,8,9.76,28.0,3138305.04782563,-261694.95217437018
Aleksander Barkov,10000000.0,71,21.84,29.0,8707432.299143974,-1292567.7008560263
Dennis Gilbert,875000.0,1,0.35,28.0,944924.7694548593,69924.76945485931
Alex Vlasic,4600000.0,30,3.7,23.0,4474858.620108968,-125141.37989103235
Justin Barron,1150000.0,12,3.82,23.0,1298213.388260773,148213.38826077292
Jake Sanderson,8050000.0,57,9.3,22.0,5643534.64888003,-2406465.35111997
Michael Rasmussen,3200000.0,21,16.97,25.0,3047391.8791663027,-152608.12083369726
John Hayden,775000.0,2,3.05,29.0,1066265.3181467452,291265.3181467452
Zemgus Girgensons,850000.0,6,8.92,31.0,1613582.1157412294,763582.1157412294
Cole Sillinger,2250000.0,33,13.49,21.0,1403570.7195406563,-846429.2804593437
Nick Jensen,4050000.0,21,3.26,34.0,4151336.0012695277,101336.00126952771
Charlie McAvoy,9500000.0,23,5.77,27.0,6840204.027169969,-2659795.972830031
Jansen Harkins,787500.0,6,4.45,27.0,1396140.6458502575,608640.6458502575
Kevin Bahl,5350000.0,20,3.39,24.0,4657094.248584827,-692905.7514151726
Tyson Kozak,750000.0,5,3.84,22.0,923546.733028148,173546.73302814795
David Pastrnak,11250000.0,106,30.39,28.0,11254917.802426225,4917.802426224574
Ryan Pulock,6150000.0,23,4.41,30.0,4587995.695139466,-1562004.3048605341
Spencer Stastney,825000.0,3,1.02,25.0,857385.3897212128,32385.389721212792
Nick Paul,3150000.0,41,18.84,29.0,3860777.593342174,710777.5933421738
Adam Fantilli,950000.0,54,18.59,20.0,1156875.8166468253,206875.8166468253
Jonas Brodin,6000000.0,20,2.23,31.0,4728952.221178153,-1271047.7788218474
Parker Kelly,825000.0,19,10.18,25.0,1524942.259883063,699942.2598830629
Maxim Tsyplakov,2250000.0,35,16.3,26.0,2970330.392708217,720330.3927082168
Philip Broberg,4580917.0,29,4.87,23.0,4820770.879455648,239853.87945564836
Akil Thomas,775000.0,3,2.69,25.0,844541.2383919108,69541.2383919108
Colin Blackwell,775000.0,17,6.69,31.0,1429746.3224760876,654746.3224760876
Daniil Miromanov,1250000.0,9,1.97,27.0,1640175.32215176,390175.3221517601
Vincent Desharnais,2000000.0,3,0.99,28.0,950276.6354994692,-1049723.3645005308
Nikolaj Ehlers,8500000.0,63,19.82,28.0,6202816.748588158,-2297183.251411842
Evan Rodrigues,3000000.0,32,17.13,31.0,3121325.408789588,121325.40878958814
Trent Frederic,3850000.0,0,9.71,26.0,3168343.0332375527,-681656.9667624473
Jake Guentzel,9000000.0,80,34.75,30.0,8882069.411711881,-117930.58828811906
Tyler Kleven,1600000.0,10,2.82,23.0,1780233.696784443,180233.696784443
Dennis Cholowski,775000.0,0,1.02,26.0,1248463.6872635332,473463.68726353324
Sean Monahan,5500000.0,57,18.81,30.0,5474915.864066732,-25084.135933267884
