name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Mitch Marner,12000000.0,102,23.73,27.0,10696255.200375402,-1303744.7996245977
Elias Pettersson,11600000.0,45,1.14,26.0,8843113.367245862,-2756886.6327541377
Kevin Rooney,1300000.0,10,6.73,31.0,1848030.6997213832,548030.6997213832
Brock Boeser,7250000.0,50,19.05,27.0,4667969.926848058,-2582030.0731519423
Yanni Gourde,2333333.0,17,13.12,33.0,2407301.5420911997,73968.54209119966
Zach Whitecloud,2750000.0,13,3.12,28.0,3053883.9395810245,303883.93958102446
Bo Horvat,8500000.0,57,26.33,29.0,6264878.308155482,-2235121.6918445183
Justin Dowling,775000.0,7,4.49,34.0,1290351.2330707377,515351.2330707377
Andreas Englund,775000.0,2,0.49,29.0,924968.244455282,149968.244455282
Justin Brazeau,1500000.0,2,12.76,26.0,2475985.5684401556,975985.5684401556
Brady Skjei,7000000.0,33,7.5,30.0,7055869.730558515,55869.730558514595
Landon Slaggert,900000.0,6,5.21,22.0,919658.2502479729,19658.2502479729
David Gustafsson,835000.0,6,3.94,24.0,919500.4794873846,84500.47948738455
Keaton Middleton,775000.0,2,1.55,26.0,925563.7764641584,150563.77646415844
Justin Faulk,6500000.0,32,6.01,32.0,6615983.077777313,115983.07777731307
Shea Theodore,7425000.0,57,7.36,29.0,7468861.322527941,43861.32252794132
Henri Jokiharju,3000000.0,6,1.97,25.0,1939092.8785031203,-1060907.1214968797
Filip Forsberg,8500000.0,76,32.29,30.0,8024603.913495034,-475396.086504966
Tage Thompson,7142857.0,72,24.46,27.0,7258371.421227728,115514.42122772802
Nazem Kadri,7000000.0,67,28.45,34.0,6972133.434708079,-27866.565291920677
Oliver Wahlstrom,1000000.0,4,4.07,24.0,1027736.119611968,27736.119611968054
Philip Tomasino,1750000.0,1,10.6,23.0,2188952.4153387104,438952.4153387104
Kevin Korchinski,918333.0,2,0.59,20.0,947101.9398707955,28768.939870795468
Martin Pospisil,1000000.0,25,13.38,25.0,1992939.8374287633,992939.8374287633
Bobby Brink,1500000.0,41,14.02,23.0,2314920.4444409367,814920.4444409367
Liam O'Brien,1000000.0,2,4.63,30.0,1338530.97865171,338530.9786517101
Ryan Graves,4500000.0,4,1.39,29.0,1230405.1965117003,-3269594.8034882997
Ryan McDonagh,6750000.0,31,4.31,35.0,5845100.378550403,-904899.6214495972
Max Pacioretty,1500000.0,13,8.84,36.0,1984587.1994755885,484587.1994755885
Ryan Strome,5000000.0,41,19.16,31.0,4505986.095499899,-494013.90450010076
Brayden Point,9500000.0,82,31.02,28.0,8909312.84990396,-590687.1500960402
Garnet Hathaway,2400000.0,21,8.72,33.0,2435381.577059983,35381.57705998281
Max Sasson,775000.0,7,3.39,24.0,1090786.0487448378,315786.04874483775
Cutter Gauthier,950000.0,44,18.46,21.0,1167525.4596700245,217525.45967002446
Joel Kiviranta,1250000.0,23,12.9,28.0,2093490.4186499738,843490.4186499738
Anthony Beauvillier,2750000.0,5,19.42,27.0,2745819.170777176,-4180.829222823959
Yegor Chinakhov,2100000.0,15,6.48,23.0,1925961.6483230614,-174038.3516769386
Jack Quinn,3375000.0,39,13.02,23.0,3045901.794461265,-329098.2055387348
Rasmus Dahlin,11000000.0,68,13.27,24.0,6582379.164061691,-4417620.835938309
Macklin Celebrini,975000.0,63,23.32,18.0,1335570.0013373017,360570.0013373017
Nick DeSimone,800000.0,6,1.18,30.0,901080.1993925184,101080.19939251838
Mikael Pyyhtia,775000.0,7,2.78,23.0,1157778.2254891119,382778.22548911185
Kyle Connor,7142857.0,97,30.19,28.0,10335941.14852533,3193084.1485253293
Vince Dunn,7350000.0,39,7.09,28.0,6454752.616766524,-895247.3832334764
Nicholas Robertson,1825000.0,22,10.61,23.0,1508091.1468628154,-316908.85313718463
Kent Johnson,1800000.0,57,14.44,22.0,2730019.6413307544,930019.6413307544
Corey Perry,2000000.0,30,17.14,39.0,3166176.482247984,1166176.482247984
Brandon Carlo,4100000.0,3,3.3,28.0,3055320.864268937,-1044679.1357310629
Jean-Gabriel Pageau,5000000.0,42,20.58,32.0,4816687.710400889,-183312.2895991113
Quinton Byfield,6250000.0,54,22.09,22.0,4930515.715242252,-1319484.2847577482
Jordan Greenway,4000000.0,8,5.14,27.0,2600157.3926865496,-1399842.6073134504
Claude Giroux,2000000.0,50,14.07,37.0,3047195.7642022283,1047195.7642022283
Oliver Bjorkstrand,5400000.0,37,16.86,29.0,4525159.4341935245,-874840.5658064755
Carl Grundstrom,1800000.0,9,7.5,27.0,1559469.8224360978,-240530.17756390222
William Nylander,11500000.0,84,31.18,28.0,9836169.877447065,-1663830.122552935
Haydn Fleury,950000.0,7,1.23,28.0,982975.4686698233,32975.468669823254
Jonatan Berggren,1825000.0,24,11.48,24.0,1872878.9138477289,47878.913847728865
Scott Mayfield,3500000.0,9,2.6,32.0,3053776.824049893,-446223.17595010716
Mike Reilly,1100000.0,2,1.1,31.0,1194186.3604676228,94186.36046762276
Robby Fabbri,4000000.0,16,7.91,29.0,2340519.8487178483,-1659480.1512821517
Isac Lundestrom,1300000.0,15,8.62,25.0,1746256.8321089677,446256.8321089677
Oliver Ekman-Larsson,3500000.0,29,5.64,33.0,6186229.444253818,2686229.444253818
Alex Turcotte,775000.0,25,11.96,23.0,1250596.4634806905,475596.4634806905
Ryan O'Reilly,4500000.0,53,28.75,33.0,5950379.35330314,1450379.35330314
Fraser Minten,816667.0,4,3.28,20.0,1120255.9835676928,303588.9835676928
Nico Hischier,7250000.0,69,35.06,26.0,7874064.354120841,624064.3541208412
Philipp Kurashev,1200000.0,14,6.4,25.0,1435524.6492001638,235524.64920016378
Jayden Struble,1412500.0,13,1.56,23.0,1704920.960826036,292420.96082603605
William Carrier,2000000.0,11,8.39,30.0,2297803.951239905,297803.95123990485
Ethen Frank,775000.0,7,2.91,26.0,1212281.247271224,437281.2472712239
Nick Seeler,2700000.0,20,4.03,31.0,3587189.2117039426,887189.2117039426
Jack St. Ivany,775000.0,1,0.41,25.0,875129.4666127,100129.46661270002
Oskar Sundqvist,1500000.0,20,7.77,30.0,2013350.1092415445,513350.1092415445
Brett Kulak,2750000.0,25,6.56,31.0,4210148.254321203,1460148.2543212026
Andre Lee,775000.0,3,3.06,24.0,901018.790532336,126018.79053233599
Vinnie Hinostroza,775000.0,8,8.92,30.0,2167207.3458881117,1392207.3458881117
Cole Perfetti,3250000.0,50,20.2,23.0,3708909.5893027466,458909.5893027466
Cody Glass,2500000.0,7,10.08,25.0,2320942.113733451,-179057.88626654912
Andre Burakovsky,5500000.0,37,11.77,29.0,4404997.785943042,-1095002.2140569584
Chris Kreider,6500000.0,30,24.52,33.0,6153086.043736497,-346913.95626350306
Gustav Forsling,5750000.0,31,7.49,28.0,6226814.314248207,476814.314248207
Dylan McIlrath,800000.0,2,0.5,32.0,916099.0527746751,116099.05277467507
Lawson Crouse,4300000.0,18,15.95,27.0,3276624.3863985036,-1023375.6136014964
Kevin Hayes,7142857.0,23,13.31,32.0,5050406.133911475,-2092450.8660885254
Vladislav Namestnikov,3000000.0,38,17.23,32.0,3614700.4634550256,614700.4634550256
Mattias Janmark,1450000.0,18,8.89,32.0,1899051.8439308933,449051.84393089334
Nikita Nesterenko,787500.0,6,2.84,23.0,852504.8373123739,65004.837312373915
Braden Schneider,2200000.0,21,3.75,23.0,3433670.7748983777,1233670.7748983777
Henry Thrun,1000000.0,12,1.57,23.0,1459879.3863105082,459879.38631050824
Uvis Balinskis,850000.0,18,3.84,28.0,2089527.2875053487,1239527.2875053487
Adam Boqvist,850000.0,8,2.49,24.0,914730.188160098,64730.18816009804
John Carlson,8000000.0,51,9.48,35.0,8102567.355398634,102567.35539863445
Matt Roy,5750000.0,24,4.62,29.0,5246781.570020619,-503218.42997938115
Matt Martin,775000.0,2,2.34,35.0,1055678.0515845537,280678.0515845537
Troy Terry,7000000.0,55,24.45,27.0,6672595.167931952,-327404.8320680484
Thomas Chabot,8000000.0,45,8.45,28.0,8034420.453489516,34420.45348951593
Daniel Sprong,975000.0,3,3.55,27.0,1281150.5433461908,306150.5433461908
Vinni Lettieri,775000.0,5,5.53,29.0,1181992.8480388885,406992.84803888854
Ross Johnston,1100000.0,4,1.52,30.0,992752.5972951651,-107247.40270483494
Jack Thompson,800000.0,10,1.6,22.0,1474794.3195481086,674794.3195481086
Rasmus Kupari,1000000.0,8,5.93,24.0,1513879.699095111,513879.6990951111
Conor Garland,4950000.0,50,22.51,28.0,5993403.074861841,1043403.0748618413
Brad Marchand,5250000.0,4,29.24,36.0,4433226.656680375,-816773.3433196247
Sam Colangelo,850000.0,12,6.31,23.0,1053375.8808714629,203375.88087146287
Dante Fabbro,4125000.0,0,3.24,26.0,2457981.3302812525,-1667018.6697187475
Ondrej Palat,6000000.0,28,13.44,33.0,4030035.6392576867,-1969964.3607423133
Matt Rempe,975000.0,8,4.59,22.0,1098808.951286479,123808.9512864789
Elmer Soderblom,1125000.0,11,6.25,23.0,1022459.1187888308,-102540.88121116918
Sebastian Aho,9750000.0,74,24.86,27.0,8963943.119781692,-786056.8802183084
Tyler Bertuzzi,5500000.0,46,24.9,29.0,5288340.104807521,-211659.89519247878
Miro Heiskanen,8450000.0,25,7.35,25.0,4472580.621648055,-3977419.3783519454
Anton Lundell,5000000.0,45,18.95,23.0,3967181.5010881196,-1032818.4989118804
Nick Schmaltz,5850000.0,63,26.2,28.0,6866894.534737346,1016894.5347373458
Taylor Hall,3166667.0,24,15.62,33.0,3927887.7871990306,761220.7871990306
Kaapo Kakko,4525000.0,30,15.78,23.0,3739029.4218193935,-785970.5781806065
Drew O'Connor,2500000.0,9,21.08,26.0,2928608.545187024,428608.54518702393
Matthew Tkachuk,9500000.0,57,24.29,27.0,8561614.126543825,-938385.8734561745
Dylan DeMelo,4900000.0,19,3.01,31.0,4416128.752733987,-483871.2472660132
Andrei Svechnikov,7750000.0,48,25.59,24.0,4937759.483248986,-2812240.5167510137
Noel Acciari,2000000.0,12,11.18,33.0,2621623.8891681214,621623.8891681214
Teddy Blueger,1800000.0,26,13.86,30.0,2336556.2321852087,536556.2321852087
Jonah Gadjovich,775000.0,4,5.27,26.0,1140098.234693053,365098.23469305295
Nils Lundkvist,1250000.0,5,2.07,24.0,1201567.6981903114,-48432.301809688564
Drake Batherson,4975000.0,68,21.66,26.0,5998906.656598406,1023906.6565984059
Cole Caufield,7850000.0,70,29.21,24.0,6764534.734172802,-1085465.2658271976
Alex Iafallo,3666667.0,31,14.49,31.0,3590803.561112467,-75863.4388875328
Logan O'Connor,2500000.0,21,11.96,28.0,2285276.7268030564,-214723.27319694357
Fabian Zetterlund,4275000.0,36,22.85,25.0,4500074.713109297,225074.71310929675
Brock Nelson,7500000.0,13,22.21,33.0,6520571.440087718,-979428.559912282
Mikhail Sergachev,8500000.0,53,7.08,26.0,8384124.544301108,-115875.45569889154
Luke Kunin,775000.0,18,16.64,27.0,2267641.0035139527,1492641.0035139527
Erik Cernak,5200000.0,21,3.06,27.0,4602860.668466819,-597139.3315331805
Jamie Benn,1000000.0,49,17.97,35.0,2753311.0637365426,1753311.0637365426
Sam Malinski,1400000.0,15,4.42,26.0,2407002.2361390013,1007002.2361390013
Hendrix Lapierre,850000.0,8,2.99,22.0,903906.5205931053,53906.52059310535
Keegan Kolesar,2500000.0,30,11.12,27.0,2542235.8730000346,42235.8730000346
Jonathan Marchessault,5500000.0,56,23.25,34.0,5974145.880802376,474145.8808023762
Brandon Saad,2000000.0,16,15.89,32.0,3285333.0437328354,1285333.0437328354
Reilly Smith,2000000.0,11,17.18,33.0,2962120.738802761,962120.7388027608
Aaron Ekblad,6100000.0,33,5.95,28.0,2805477.938521481,-3294522.061478519
Nikita Zadorov,5000000.0,22,5.44,29.0,4808959.034956784,-191040.965043216
Dmitri Voronkov,4175000.0,47,25.7,24.0,4010563.8668552935,-164436.1331447065
Jaccob Slavin,6395955.0,27,7.27,30.0,5652354.3443728555,-743600.6556271445
Cale Makar,9000000.0,92,20.33,26.0,8894694.67735161,-105305.32264838926
Brayden Pachal,1187500.0,12,2.22,25.0,1885314.2942165646,697814.2942165646
Brett Pesce,5500000.0,17,4.33,30.0,4917645.342543503,-582354.6574564967
Philippe Myers,850000.0,5,1.51,28.0,937902.7248052974,87902.72480529745
Ben Jones,775000.0,0,2.04,25.0,883621.1458350212,108621.14583502116
Noah Hanifin,7350000.0,39,6.76,28.0,7062281.061039138,-287718.93896086235
Travis Hamonic,1000000.0,7,2.7,34.0,1923203.5122146187,923203.5122146187
Alexandre Carrier,3750000.0,7,3.95,28.0,2781795.2546980055,-968204.7453019945
Michael Carcone,775000.0,19,7.41,28.0,1959752.7902276171,1184752.7902276171
Sam Reinhart,8625000.0,81,36.77,29.0,8425029.985664958,-199970.01433504187
Jakub Lauko,787500.0,6,4.53,24.0,965749.4045309935,178249.40453099355
Rasmus Sandin,4600000.0,30,5.55,24.0,5177790.349398915,577790.3493989147
Matthew Poitras,870000.0,11,3.7,20.0,1345794.8263846284,475794.8263846284
Jakob Chychrun,9000000.0,47,12.44,26.0,8726195.96834656,-273804.0316534396
Taylor Raddysh,1500000.0,27,12.5,26.0,2274477.974981251,774477.9749812512
Matt Grzelcyk,2750000.0,40,3.52,31.0,4376697.142096627,1626697.1420966266
Luca Del Bel Belluz,860000.0,8,1.37,21.0,914474.7592417956,54474.75924179563
Artem Zub,4600000.0,13,2.93,29.0,3994935.7603815002,-605064.2396184998
Brandon Montour,7142857.0,41,15.79,30.0,6787907.158717555,-354949.841282445
Joel Eriksson Ek,5250000.0,29,17.86,28.0,4071670.079011974,-1178329.920988026
Brian Dumoulin,4000000.0,16,3.91,33.0,3733826.2362189074,-266173.7637810926
Christian Fischer,1125000.0,0,3.73,27.0,1917777.5682785348,792777.5682785348
Blake Coleman,4900000.0,39,26.11,33.0,4960656.043122827,60656.043122827075
Jordan Eberle,4750000.0,26,9.56,34.0,4273501.883196851,-476498.11680314876
Charlie Coyle,5250000.0,13,13.78,32.0,4292902.912323,-957097.0876770001
Brennan Othmann,863333.0,2,2.16,22.0,858064.0662214276,-5268.933778572362
Trevor Moore,4200000.0,40,19.42,29.0,4153320.0839411663,-46679.91605883371
Brady Tkachuk,8205714.0,55,36.7,25.0,7670818.768301345,-534895.2316986546
Valeri Nichushkin,6125000.0,34,18.68,29.0,4948565.820473337,-1176434.1795266634
Jaden Schwartz,5500000.0,49,30.07,32.0,5541985.013037621,41985.01303762104
Jeff Skinner,3000000.0,29,16.15,32.0,3544884.978751595,544884.9787515951
Nathan Bastian,775000.0,10,7.42,27.0,1566333.8592079014,791333.8592079014
David Savard,3500000.0,15,2.01,34.0,3855024.8589752573,355024.85897525726
Mark Jankowski,800000.0,9,10.89,30.0,1767357.254482526,967357.2544825261
Rodrigo Abols,800000.0,5,3.59,29.0,1171534.92777159,371534.92777158995
Ryan Shea,900000.0,5,0.8,27.0,1227705.422156321,327705.4221563209
Morgan Frost,4375000.0,12,16.06,25.0,3482770.346063936,-892229.6539360639
Noah Philp,775000.0,2,1.57,26.0,829115.8442126107,54115.84421261074
Fedor Svechkov,925000.0,17,9.13,21.0,1219420.5928022778,294420.59280227777
Jake Evans,2850000.0,36,14.69,28.0,3174309.458924174,324309.45892417384
Boone Jenner,3750000.0,19,12.59,31.0,2628616.394096084,-1121383.605903916
Jordan Harris,825000.0,5,0.54,24.0,1023505.0001063026,198505.00010630256
Ville Heinola,800000.0,1,0.48,23.0,860898.4238611913,60898.42386119126
Nils Aman,825000.0,6,1.41,24.0,834454.0145777202,9454.014577720198
Miles Wood,2500000.0,8,6.83,29.0,1652564.2577074363,-847435.7422925637
Arber Xhekaj,1300000.0,6,2.87,24.0,1280176.8940427771,-19823.10595722287
Kirby Dach,3362500.0,22,10.86,24.0,1742964.741223205,-1619535.258776795
Erik Johnson,1000000.0,2,1.54,36.0,1134479.3864701756,134479.38647017558
Frederick Gaudreau,2100000.0,37,10.88,31.0,3034984.1879783547,934984.1879783547
Brenden Dillon,4000000.0,16,3.47,34.0,3579626.416852038,-420373.5831479621
Declan Chisholm,1600000.0,12,2.03,25.0,1925341.2773689956,325341.2773689956
Derek Ryan,900000.0,6,2.28,38.0,1401863.0217975657,501863.02179756574
Troy Stecher,787500.0,7,1.96,30.0,1250975.358367039,463475.3583670389
Ethan Del Mastro,855833.0,6,0.89,22.0,858286.2029529782,2453.202952978201
Dawson Mercer,4000000.0,36,23.91,23.0,3868215.9323751247,-131784.06762487534
Barrett Hayton,2650000.0,46,30.51,24.0,3288645.4108270677,638645.4108270677
Wyatt Johnston,8400000.0,71,29.88,21.0,7002239.267756789,-1397760.732243211
Alexey Toropchenko,1700000.0,18,9.64,25.0,1678937.7236317978,-21062.276368202176
Robert Bortuzzo,775000.0,2,0.58,35.0,1696937.317555274,921937.3175552741
Isaiah George,838333.0,5,0.82,20.0,1007687.4926439695,169354.49264396948
Zach Hyman,5500000.0,44,38.01,32.0,5995002.728896937,495002.72889693733
Jacob Trouba,8000000.0,8,3.64,30.0,6088539.389339115,-1911460.6106608855
Tyler Motte,800000.0,9,8.5,29.0,1672960.4241839019,872960.4241839019
Jack Drury,1725000.0,9,10.51,24.0,1986947.0143175686,261947.01431756862
Ryan Hartman,4000000.0,26,18.28,30.0,3964572.969708454,-35427.030291546136
Brandon Hagel,6500000.0,90,32.55,26.0,7440573.3071014555,940573.3071014555
Ryan Nugent-Hopkins,5125000.0,49,25.09,31.0,5308255.053533857,183255.05353385676
Connor McDavid,12500000.0,100,26.91,28.0,12240153.309884558,-259846.6901154425
Simon Benoit,1350000.0,10,1.71,26.0,2285210.343591763,935210.3435917632
Nicolas Hague,5500000.0,12,3.59,26.0,3485053.8770642593,-2014946.1229357407
Luke Glendening,800000.0,7,6.4,35.0,1977739.8178180968,1177739.8178180968
Owen Pickering,886667.0,3,0.63,21.0,857367.1031805712,-29299.896819428774
Trevor van Riemsdyk,3000000.0,21,3.29,33.0,4479002.91245225,1479002.9124522498
Adam Edstrom,975000.0,9,7.11,24.0,1111710.8475356423,136710.84753564233
Tyson Foerster,3750000.0,43,20.46,23.0,4132899.5579625224,382899.5579625224
Lian Bichsel,918333.0,9,1.57,20.0,1005939.1875963234,87606.18759632343
Jeff Petry,775000.0,8,1.72,37.0,1804706.3977520638,1029706.3977520638
Tanner Pearson,1000000.0,27,14.31,32.0,2473474.150889382,1473474.1508893822
Ivan Miroshnichenko,950000.0,4,2.99,20.0,875988.5632595033,-74011.43674049666
Drew Doughty,11000000.0,17,2.76,35.0,6994917.7584700035,-4005082.2415299965
Brett Leason,1050000.0,17,7.88,25.0,1786676.337483114,736676.3374831141
Tyler Toffoli,6000000.0,54,27.36,32.0,6503672.116894616,503672.1168946158
Pierre Engvall,3000000.0,15,7.95,28.0,2316597.5096282577,-683402.4903717423
Mattias Samuelsson,4285714.0,14,1.88,24.0,3119051.2358198105,-1166662.7641801895
Collin Graf,941667.0,11,4.23,22.0,1103387.8243194802,161720.82431948022
Travis Sanheim,6250000.0,30,11.3,28.0,5607390.740556251,-642609.2594437487
Kaiden Guhle,5550000.0,18,3.45,23.0,3655585.097362306,-1894414.902637694
Mikael Backlund,4500000.0,32,18.84,35.0,3791660.6978257257,-708339.3021742743
Justin Kirkland,900000.0,8,1.31,28.0,1028550.937096227,128550.93709622696
Ridly Greig,3250000.0,34,18.6,22.0,3395004.4541994273,145004.45419942727
Walker Duehr,775000.0,1,2.04,27.0,860227.8015665091,85227.80156650906
Jake DeBrusk,5500000.0,48,29.45,28.0,5130649.242074869,-369350.75792513136
Will Smith,950000.0,45,13.46,19.0,1066496.125380342,116496.1253803419
Lars Eller,1250000.0,15,11.81,35.0,2052084.9791857891,802084.9791857891
Mitchell Chaffee,800000.0,18,10.06,27.0,1662263.9382722867,862263.9382722867
Timothy Liljegren,3000000.0,17,4.85,25.0,3398409.580619205,398409.5806192048
Jack Roslovic,2800000.0,39,17.06,28.0,3821537.377069684,1021537.3770696842
Nikolas Matinpalo,875000.0,4,1.88,26.0,1226744.5447265354,351744.54472653545
Matthew Highmore,775000.0,6,4.72,28.0,1028760.5029979448,253760.50299794483
Curtis Lazar,775000.0,5,2.84,29.0,1026888.1022142258,251888.1022142258
Aliaksei Protas,3375000.0,66,21.73,24.0,3711149.526482045,336149.5264820452
Connor Murphy,4400000.0,19,3.57,31.0,4301160.595389813,-98839.40461018682
Dylan Cozens,7100000.0,16,22.91,23.0,6215917.077709235,-884082.9222907647
Liam Ohgren,886667.0,5,2.87,21.0,876069.8690867525,-10597.13091324747
Ivan Provorov,8500000.0,33,5.55,28.0,7394755.196497011,-1105244.803502989
Paul Cotter,775000.0,22,12.94,25.0,1611495.4512762616,836495.4512762616
Adam Klapka,1250000.0,10,4.84,24.0,1166676.1829690903,-83323.8170309097
Jake Christiansen,975000.0,8,1.75,25.0,1006503.0515012726,31503.051501272595
Ty Emberson,1300000.0,13,2.07,24.0,2120221.1429488496,820221.1429488496
Marcus Johansson,800000.0,34,12.42,34.0,3726781.369278474,2926781.369278474
Kevin Stenlund,2000000.0,28,12.47,28.0,2866616.655900596,866616.6559005962
Ryker Evans,2050000.0,25,3.21,23.0,4164550.9120027483,2114550.9120027483
Marc Del Gaizo,775000.0,9,3.31,25.0,1413991.3946821084,638991.3946821084
Rasmus Andersson,4550000.0,31,9.51,28.0,5523202.553657919,973202.5536579192
Ilya Mikheyev,4750000.0,34,16.3,30.0,4486377.239605353,-263622.7603946468
Jack Johnson,775000.0,6,0.87,38.0,1658158.1370766058,883158.1370766058
Sean Walker,3600000.0,16,8.75,30.0,3789032.602800852,189032.60280085215
Hudson Fasching,775000.0,4,5.59,29.0,1229500.69503191,454500.69503190997
Mathew Barzal,9150000.0,20,8.2,27.0,6863615.951298547,-2286384.048701453
Viktor Arvidsson,4000000.0,27,16.18,31.0,3761915.5288312393,-238084.47116876068
Jesper Bratt,7875000.0,88,26.19,26.0,7787295.402454593,-87704.59754540678
Michael Callahan,775000.0,1,0.26,25.0,1179769.6774809586,404769.67748095863
Tomas Hertl,8137500.0,61,33.02,31.0,7856498.823481019,-281001.17651898134
Pius Suter,4125000.0,46,19.84,28.0,4376560.5098767765,251560.5098767765
Jesper Boqvist,1500000.0,23,10.54,26.0,1815202.3435196283,315202.3435196283
Mason Lohrei,3200000.0,33,6.36,24.0,4713216.234937189,1513216.2349371891
Colin Miller,1500000.0,15,2.92,32.0,2294932.527833564,794932.5278335642
Brandon Duhaime,1850000.0,21,13.01,27.0,2236878.9690428297,386878.9690428297
Mats Zuccarello,4125000.0,54,15.66,37.0,4806721.893544703,681721.8935447028
Neal Pionk,7000000.0,39,5.26,29.0,6447276.451257569,-552723.5487424312
Maveric Lamoureux,886667.0,3,0.84,21.0,859644.7001936978,-27022.29980630218
Urho Vaakanainen,1550000.0,1,2.02,26.0,1480865.09833411,-69134.90166588989
Zachary L'Heureux,925000.0,15,11.74,21.0,1492827.4363093842,567827.4363093842
Max Domi,3750000.0,33,8.84,29.0,4071294.342044912,321294.3420449118
Jacob Bryson,900000.0,7,1.16,27.0,1449367.6366067426,549367.6366067426
Linus Karlsson,775000.0,6,5.84,25.0,968775.3952099372,193775.39520993724
Brett Berard,867500.0,10,5.06,22.0,983804.3667792289,116304.3667792289
Kurtis MacDermid,1150000.0,0,0.91,30.0,939718.3044936503,-210281.69550634967
Eetu Luostarinen,3000000.0,24,13.82,26.0,2620146.9016660363,-379853.09833396366
Louis Crevier,900000.0,4,1.07,23.0,960848.7465954067,60848.74659540667
Klim Kostin,2000000.0,7,4.07,25.0,1455883.0244448315,-544116.9755551685
Mattias Ekholm,6250000.0,33,7.78,34.0,7025926.60979432,775926.6097943196
Robert Thomas,8125000.0,81,16.88,25.0,7712282.694859663,-412717.305140337
Jake Bean,1750000.0,7,2.82,26.0,1794521.5175651535,44521.51756515354
Olen Zellweger,844167.0,20,6.59,21.0,1288770.7256014233,444603.7256014233
Cole Reinhardt,812500.0,2,1.4,24.0,835939.9006693497,23439.900669349707
Moritz Seider,8550000.0,46,9.67,23.0,5420519.191737646,-3129480.8082623538
Tyler Seguin,9850000.0,21,8.21,33.0,4631418.240584898,-5218581.759415102
Andrew Copp,5625000.0,23,12.34,30.0,4725705.585115973,-899294.4148840271
Mark Kastelic,1566667.0,14,6.23,25.0,1733476.3865451617,166809.38654516172
Jack Hughes,8000000.0,70,25.43,23.0,7233196.85081111,-766803.1491888901
Jared Spurgeon,7575000.0,32,5.45,35.0,6759017.604648372,-815982.3953516278
Jacob Moverare,775000.0,8,1.01,26.0,1366757.7449047384,591757.7449047384
Nico Sturm,2000000.0,13,6.83,29.0,1905274.5590591559,-94725.44094084413
Devin Shore,775000.0,5,4.19,30.0,1527831.2562540127,752831.2562540127
Mavrik Bourque,950000.0,25,12.74,23.0,1265181.858851014,315181.85885101394
Jonathan Huberdeau,10500000.0,62,25.34,31.0,8700749.829400644,-1799250.1705993563
Alex Killorn,6250000.0,37,15.81,35.0,4198418.55452078,-2051581.4454792198
Mason McTavish,3425000.0,52,25.42,22.0,4363718.456677991,938718.456677991
Matvei Michkov,950000.0,63,23.65,20.0,1805603.8147182537,855603.8147182537
Logan Stankoven,814167.0,29,22.47,21.0,2210375.8855997478,1396208.8855997478
Tomas Tatar,1800000.0,17,8.69,34.0,1916631.5724724347,116631.57247243472
Lukas Reichel,1200000.0,22,6.8,22.0,2851471.842406678,1651471.842406678
Alec Martinez,4000000.0,12,1.6,37.0,4268931.06514061,268931.06514060963
Gustav Nyquist,3250000.0,7,16.51,35.0,3108234.013645355,-141765.98635464488
Ryan Lomberg,2000000.0,13,5.78,30.0,1709880.836836971,-290119.1631630289
Adam Gaudette,2000000.0,26,11.85,28.0,2310569.972390436,310569.9723904361
Mason Appleton,2900000.0,22,10.88,29.0,2332918.3859836217,-567081.6140163783
Ryan Donato,4000000.0,62,20.68,28.0,5060829.354843426,1060829.3548434256
Alexander Kerfoot,3000000.0,28,16.23,30.0,3451979.1387549536,451979.13875495363
Thomas Harley,4000000.0,50,9.84,23.0,6225802.097865335,2225802.0978653347
Connor McMichael,2100000.0,57,26.65,24.0,3523500.2609888846,1423500.2609888846
Elias Lindholm,7750000.0,47,25.21,30.0,6028431.077125866,-1721568.922874134
Beck Malenstyn,1350000.0,10,7.04,26.0,1582500.7536817754,232500.75368177542
Adam Wilsby,775000.0,5,1.64,24.0,828578.6198940118,53578.61989401176
Dylan Guenther,7142857.0,60,23.81,21.0,4936992.221302605,-2205864.7786973948
Shane Wright,886667.0,44,17.16,21.0,1083453.0596816705,196786.0596816705
Colton Parayko,6500000.0,36,7.89,31.0,6924769.5221085325,424769.5221085325
Alexander Holtz,1775000.0,12,7.85,23.0,1076863.3561294517,-698136.6438705483
Kyle Palmieri,4750000.0,48,23.5,33.0,5078186.297145738,328186.29714573827
Frank Nazar,950000.0,26,13.26,21.0,1438552.5400835031,488552.5400835031
Yegor Sharangovich,5750000.0,32,17.75,26.0,4662216.774295665,-1087783.2257043347
Alex DeBrincat,7875000.0,70,32.1,27.0,7986703.244073277,111703.24407327734
Roope Hintz,8450000.0,67,27.45,28.0,7763829.6505864095,-686170.3494135905
Pavel Dorofeyev,1835000.0,52,28.05,24.0,3151585.422982671,1316585.4229826708
Jordan Martinook,3050000.0,36,18.83,32.0,3768156.5042866403,718156.5042866403
Jared McCann,5000000.0,61,22.73,28.0,5899301.572523575,899301.5725235753
Nick Bjugstad,1750000.0,19,12.02,32.0,2160011.9742316543,410011.9742316543
Kiefer Sherwood,1500000.0,40,12.07,29.0,2689682.3805061863,1189682.3805061863
Dougie Hamilton,9000000.0,40,12.29,31.0,8074768.926521468,-925231.073478532
Nicolas Deslauriers,1750000.0,3,3.59,33.0,1538999.5399468204,-211000.46005317965
